[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 16:11:23] Simulation progress: 102/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=14.5 min | ETA=31 min
[2026-05-21 16:11:32] Simulation progress: 103/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=14.7 min | ETA=30.9 min
[2026-05-21 16:11:41] Simulation progress: 104/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=14.8 min | ETA=30.8 min
[2026-05-21 16:11:49] Simulation progress: 105/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=14.9 min | ETA=30.6 min
[2026-05-21 16:11:57] Simulation progress: 106/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=15.1 min | ETA=30.4 min
[2026-05-21 16:12:06] Simulation progress: 107/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=15.2 min | ETA=30.3 min
[2026-05-21 16:12:14] Simulation progress: 108/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=15.4 min | ETA=30.2 min
[2026-05-21 16:12:22] Simulation progress: 109/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=15.5 min | ETA=30 min
[2026-05-21 16:12:30] Simulation progress: 110/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=15.6 min | ETA=29.8 min
[2026-05-21 16:12:38] Simulation progress: 111/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=15.8 min | ETA=29.7 min
[2026-05-21 16:12:46] Simulation progress: 112/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=15.9 min | ETA=29.5 min
[2026-05-21 16:12:55] Simulation progress: 113/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=16 min | ETA=29.4 min
[2026-05-21 16:13:04] Simulation progress: 114/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=16.2 min | ETA=29.3 min
[2026-05-21 16:13:12] Simulation progress: 115/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=16.3 min | ETA=29.1 min
[2026-05-21 16:13:20] Simulation progress: 116/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=16.5 min | ETA=28.9 min
[2026-05-21 16:13:27] Simulation progress: 117/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=16.6 min | ETA=28.8 min
[2026-05-21 16:13:34] Simulation progress: 118/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=16.7 min | ETA=28.6 min
[2026-05-21 16:13:42] Simulation progress: 119/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=16.8 min | ETA=28.4 min
[2026-05-21 16:13:49] Simulation progress: 120/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=16.9 min | ETA=28.2 min
[2026-05-21 16:13:57] Simulation progress: 121/320 | profile=fixed | LFC=0.5 | DE=0.05 | null_inflation=0.1 | rep=1 | timeout=240 sec | elapsed=17.1 min | ETA=28.1 min
