"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"33321",699,1.16935078744615,0.0794683359990813,1,2583,2583,1776,1.07562874452728,0.442326905376802,1,3570,3570,1238,2.24497953197343,0.521795241375884,1.72318429059754,1,3570,3570
"142861",1505,1.00397437734438,0.0197571755466299,1,3389,3389,978,1.2032207986407,0.493599720731424,1,2772,2772,1242,2.20719517598508,0.513356896278054,1.69383827970702,1,3389,3389
"278950",2027,0.920620824102285,-0.0118546133650028,143,3911,3769,457,1.28634164546554,0.508133865950438,1,2251,2251,1242,2.20696246956783,0.496279252585435,1.71068321698239,1,3911,3769
"8833",2203,0.897502753610581,-0.0207279718990634,319,4087,3769,287,1.39297455980363,0.538464223685899,1,2081,2081,1245,2.29047731341421,0.517736251786836,1.77274106162738,1,4087,3769
"100191",914,1.10736179123518,0.0572157552247745,1,2798,2798,1587,1.10445384841162,0.461765380282252,1,3381,3381,1250,2.2118156396468,0.518981135507026,1.69283450413977,1,3381,3381
"472507",1022,1.09066268666629,0.0626039141149306,1,2906,2906,1517,1.11416542892744,0.459809632770884,1,3311,3311,1270,2.20482811559373,0.522413546885815,1.68241456870791,1,3311,3311
"205206",1379,1.0266313806132,0.0328671603376165,1,3263,3263,1165,1.17130659984292,0.476029454375421,1,2959,2959,1272,2.19793798045612,0.508896614713038,1.68904136574308,1,3263,3263
"193809",612,1.20095947994383,0.0863720611668413,1,2496,2496,1936,1.03854187355242,0.439324910538758,142,3730,3589,1274,2.23950135349625,0.525696971705599,1.71380438179065,1,3730,3589
"432241",937,1.10623512122197,0.0613896624068246,1,2821,2821,1664,1.09139802192703,0.456165778496256,1,3458,3458,1300,2.19763314314901,0.517555440903081,1.68007770224592,1,3458,3458
"552928",1979,0.92805484524709,-0.00829831380897161,95,3863,3769,638,1.24329482285827,0.504864905637987,1,2432,2432,1308,2.17134966810536,0.496566591829016,1.67478307627635,1,3863,3769
"570784",764,1.15146645333255,0.0738386837886758,1,2648,2648,1876,1.05127870026249,0.44378259067922,82,3670,3589,1320,2.20274515359503,0.517621274467896,1.68512387912714,1,3670,3589
"452373",1416,1.01976150512559,0.0285077920273693,1,3300,3300,1239,1.16084209407086,0.469801589292302,1,3033,3033,1328,2.18060359919644,0.498309381319672,1.68229421787677,1,3300,3300
"28454",131,1.59651046636698,0.194479383258695,1,2015,2015,2529,0.973486547534733,0.40413379060616,735,4323,3589,1330,2.56999701390171,0.598613173864855,1.97138384003686,1,4323,3589
"352227",1544,0.997319814798828,0.0166840683733938,1,3428,3428,1120,1.18043532447996,0.488875163298644,1,2914,2914,1332,2.17775513927879,0.505559231672038,1.67219590760675,1,3428,3428
"349078",2069,0.913210628151582,-0.0155283177031442,185,3953,3769,601,1.2492224069747,0.500993889057582,1,2395,2395,1335,2.16243303512628,0.485465571354438,1.67696746377184,1,3953,3769
"329011",1433,1.01649755339037,0.0264997287056303,1,3317,3317,1247,1.15953217043392,0.470370101032444,1,3041,3041,1340,2.17602972382429,0.496869829738074,1.67915989408621,1,3317,3317
"534231",2417,0.869036102849691,-0.028980258460459,533,4301,3769,263,1.41105474532333,0.543147552746561,1,2057,2057,1340,2.28009084817302,0.514167294286102,1.76592355388692,1,4301,3769
"223622",1868,0.949850713957829,-0.000606949234246605,1,3752,3752,819,1.21761247016309,0.499386386368201,1,2613,2613,1344,2.16746318412092,0.498779437133954,1.66868374698696,1,3752,3752
"578125",1057,1.08508768661977,0.0617790413203068,1,2941,2941,1638,1.09659750127,0.458154873162003,1,3432,3432,1348,2.18168518788977,0.519933914482309,1.66175127340746,1,3432,3432
"362155",197,1.50207657409949,0.167680237369318,1,2081,2081,2514,0.974330129898277,0.403806731418934,720,4308,3589,1356,2.47640670399777,0.571486968788252,1.90491973520952,1,4308,3589
