"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw"
"RT0_ZT6","436549","Zbtb17",2.82523566688178e-06,-0.000230183351768742,2.61844948123374e-05,-5.80230429477352e-05
"RT0_ZT6","436552","-",9.6015563140808e-05,-2.61213256441673e-05,0.000253762604252329,-0.000203261255275297
"RT0_ZT6","436563","-",0.000228512672081193,-0.000247562270036039,0.000233251659206371,-2.17917657045414e-05
"RT0_ZT6","436582","Dnajc16",8.45625545658862e-05,-0.000274313017154729,0.000100776882933227,-0.000129621090964512
"RT0_ZT6","436591","Casp9",0.000274315084444772,-0.000405289424320694,0.000281001538285638,-0.000447054571132883
"RT0_ZT6","436592","Casp9",0.000109057444544963,-0.000227809347260945,0.000119303297693532,-0.000153489349389525
"RT0_ZT6","436596","Cela2a",-3.12163648554301e-05,0.000179500451306552,-3.61380030476936e-05,-4.52948652852121e-06
"RT0_ZT6","436597","Cela2a",3.58886588722523e-05,0,5.58963109577519e-05,0
"RT0_ZT6","436601","-",-0.000191872174070022,-5.54165001919788e-05,-0.000161419962263561,-3.0801545653851e-05
"RT0_ZT6","436651","Kazn",-2.29843164325108e-05,0.000139326730429955,8.34712953370111e-05,1.2677709843195e-05
"RT0_ZT6","436652","Kazn",NA,NA,NA,NA
"RT0_ZT6","436669","LOC298611",-5.23287747463698e-05,0.000391835361029565,-4.40236260718803e-05,-0.00012641336950174
"RT0_ZT6","436673","Lrrc38",-2.96996805178603e-05,0.000146698452137315,-1.94037068520127e-05,2.98269139584397e-05
"RT0_ZT6","436678","Pramef8",-0.000265795401198219,8.99074114093581e-05,-0.000227540951751265,-0.000288601625621654
"RT0_ZT6","436692","LOC691196",-8.11966261246715e-05,-5.68775480294316e-05,-5.3079496027416e-05,1.31609394413038e-06
"RT0_ZT6","436711","Dhrs3",-6.28396484290167e-05,-0.000161573306055194,2.28199508969454e-05,-0.000243062281755633
"RT0_ZT6","436721","-",-1.25529623701982e-06,2.9669665630606e-06,-6.95481575352346e-06,-9.77879371126138e-05
"RT0_ZT6","436735","-",-0.000153362005918001,0.00202922616062013,-0.000140801647346192,-0.000444280452053432
"RT0_ZT6","436736","-",5.62727282652583e-05,0.000145897110715588,5.37254794978866e-05,-9.18417203418733e-05
